Count;Index;Original filename;Current filename;Bitrate;Reference;DMOS;PSNR;SSIM;MS-SSIM
255;29;bikes.bmp;img29.bmp;"0.30737
";0;63.22821648316846;17.9639949798584;0.609860360622406;0.7265691161155701
303;77;bikes.bmp;img77.bmp;"0.42552
";0;56.02031619077877;18.600116729736328;0.6735141277313232;0.780317485332489
307;81;bikes.bmp;img81.bmp;"0.56447
";0;49.05615490510982;18.982027053833008;0.7238052487373352;0.8152070045471191
409;183;bikes.bmp;img183.bmp;"0.20876
";0;56.82089940310144;17.687259674072266;0.5342208743095398;0.6470253467559814
414;188;bikes.bmp;img188.bmp;"0.22872
";0;55.940063916423995;17.96780014038086;0.5516342520713806;0.6767842769622803
429;203;bikes.bmp;img203.bmp;"1.0323
";0;30.3960122439865;20.93067169189453;0.8188104033470154;0.8962474465370178
452;226;bikes.bmp;img226.bmp;"1.4875
";0;25.44282492050957;21.989063262939453;0.8621026873588562;0.9231618046760559
268;42;bikes.bmp;img42.bmp;"0
";1;0.0;0.0;0.0;0.0
405;179;bikes.bmp;img179.bmp;"0
";1;0.0;0.0;0.0;0.0
262;36;building2.bmp;img36.bmp;"0.39385
";0;68.81582729779525;15.605267524719238;0.5516753196716309;0.7292613387107849
286;60;building2.bmp;img60.bmp;"0.64297
";0;50.91458216680612;16.17487335205078;0.6368037462234497;0.7901272773742676
288;62;building2.bmp;img62.bmp;"0.39385
";0;66.06308108895072;15.605267524719238;0.5516753196716309;0.7292613387107849
397;171;building2.bmp;img171.bmp;"2.0938
";0;25.732981771905134;18.167875289916992;0.7955576777458191;0.8849828243255615
418;192;building2.bmp;img192.bmp;"0.26018
";0;60.59222184804797;15.884134292602539;0.46988987922668457;0.6647414565086365
431;205;building2.bmp;img205.bmp;"0.28835
";0;58.5077181327665;15.922133445739746;0.4930618107318878;0.694990336894989
451;225;building2.bmp;img225.bmp;"1.1092
";0;32.4893858610105;17.119060516357422;0.7158239483833313;0.8395309448242188
339;113;building2.bmp;img113.bmp;"0
";1;0.0;0.0;0.0;0.0
450;224;building2.bmp;img224.bmp;"0
";1;0.0;0.0;0.0;0.0
269;43;buildings.bmp;img43.bmp;"0.58384
";0;47.79653010779907;27.866146087646484;0.8374378085136414;0.955008327960968
310;84;buildings.bmp;img84.bmp;"0.58384
";0;51.01535769470311;27.866146087646484;0.8374378085136414;0.955008327960968
316;90;buildings.bmp;img90.bmp;"0.58384
";0;48.20131912049039;27.866146087646484;0.8374378085136414;0.955008327960968
383;157;buildings.bmp;img157.bmp;"1.7772
";0;22.915712075825788;34.94025421142578;0.9531564712524414;0.9924736618995667
388;162;buildings.bmp;img162.bmp;"0.26731
";0;58.27189658802589;23.2204532623291;0.6749703884124756;0.8505480885505676
389;163;buildings.bmp;img163.bmp;"1.0394
";0;30.40910849956548;31.256999969482422;0.9099494814872742;0.9818592071533203
430;204;buildings.bmp;img204.bmp;"0.24723
";0;59.01313652905887;22.427711486816406;0.6528365015983582;0.8285923600196838
292;66;buildings.bmp;img66.bmp;"0
";1;0.0;0.0;0.0;0.0
453;227;buildings.bmp;img227.bmp;"0
";1;0.0;0.0;0.0;0.0
250;24;caps.bmp;img24.bmp;"0.85118
";0;28.307801062720873;26.551366806030273;0.9596826434135437;0.9778454303741455
289;63;caps.bmp;img63.bmp;"0.40535
";0;40.20037531558981;24.090017318725586;0.9254627227783203;0.9491832852363586
331;105;caps.bmp;img105.bmp;"0.42483
";0;42.874483145017024;24.45166778564453;0.9290485978126526;0.952835738658905
352;126;caps.bmp;img126.bmp;"0.15312
";0;60.069537201696626;18.148523330688477;0.8047928810119629;0.7968643307685852
385;159;caps.bmp;img159.bmp;"0.15312
";0;59.85684396834845;18.148523330688477;0.8047928810119629;0.7968643307685852
433;207;caps.bmp;img207.bmp;"0.1993
";0;49.85666308799925;21.12056541442871;0.8595573306083679;0.8773735165596008
238;12;caps.bmp;img12.bmp;"0
";1;0.0;inf;1.0;1.0
362;136;caps.bmp;img136.bmp;"0
";1;0.0;0.0;0.0;0.0
240;14;carnivaldolls.bmp;img14.bmp;"2.5748
";0;22.427797517937464;23.691375732421875;0.9639984965324402;0.980781614780426
306;80;carnivaldolls.bmp;img80.bmp;"0.3273
";0;65.92309095733728;19.670135498046875;0.7900681495666504;0.8622989058494568
330;104;carnivaldolls.bmp;img104.bmp;"0.3273
";0;65.70767925324277;19.670135498046875;0.7900681495666504;0.8622989058494568
402;176;carnivaldolls.bmp;img176.bmp;"0.20726
";0;59.197872403677;18.017925262451172;0.6928879618644714;0.7631106376647949
442;216;carnivaldolls.bmp;img216.bmp;"1.0085
";0;26.954088129242155;22.4598388671875;0.9148280024528503;0.9556405544281006
231;5;carnivaldolls.bmp;img5.bmp;"0
";1;0.0;inf;1.0;1.0
379;153;carnivaldolls.bmp;img153.bmp;"0
";1;0.0;inf;1.0;1.0
272;46;cemetry.bmp;img46.bmp;"0.30013
";0;69.45204261392958;18.091411590576172;0.6506545543670654;0.7676665186882019
281;55;cemetry.bmp;img55.bmp;"0.85407
";0;42.18685408278848;21.111957550048828;0.8374803066253662;0.9294946789741516
304;78;cemetry.bmp;img78.bmp;"0.30013
";0;69.18511018899825;18.091411590576172;0.6506545543670654;0.7676665186882019
343;117;cemetry.bmp;img117.bmp;"1.5697
";0;28.52528489057023;22.536354064941406;0.9033563733100891;0.9631964564323425
354;128;cemetry.bmp;img128.bmp;"0.53292
";0;41.49997147178339;19.813203811645508;0.7659266591072083;0.8719713091850281
439;213;cemetry.bmp;img213.bmp;"0.21773
";0;57.24972197729394;17.598411560058594;0.5711553692817688;0.6874153017997742
308;82;cemetry.bmp;img82.bmp;"0
";1;0.0;inf;1.0;1.0
349;123;cemetry.bmp;img123.bmp;"0
";1;0.0;0.0;0.0;0.0
228;2;churchandcapitol.bmp;img2.bmp;"0.83865
";0;42.18605088354612;20.47454071044922;0.8626077771186829;0.9307360053062439
230;4;churchandcapitol.bmp;img4.bmp;"0.29125
";0;79.63200139873037;17.94892692565918;0.7212266325950623;0.800058126449585
247;21;churchandcapitol.bmp;img21.bmp;"0.57502
";0;53.818664170538256;19.444530487060547;0.8283974528312683;0.9090822339057922
358;132;churchandcapitol.bmp;img132.bmp;"1.6916
";0;22.645234717415967;21.251495361328125;0.9080419540405273;0.9521350860595703
421;195;churchandcapitol.bmp;img195.bmp;"0.21903
";0;62.49964418626532;18.754222869873047;0.6808918118476868;0.7824821472167969
248;22;churchandcapitol.bmp;img22.bmp;"0
";1;0.0;inf;1.0;1.0
344;118;churchandcapitol.bmp;img118.bmp;"0
";1;0.0;inf;1.0;1.0
275;49;coinsinfountain.bmp;img49.bmp;"0.58801
";0;41.94637326127812;14.91478443145752;0.7096851468086243;0.7791319489479065
299;73;coinsinfountain.bmp;img73.bmp;"0.46101
";0;44.56841486707733;14.479716300964355;0.6784310936927795;0.7588320374488831
327;101;coinsinfountain.bmp;img101.bmp;"1.8247
";0;26.45959904623459;16.39495849609375;0.8063497543334961;0.8669497966766357
355;129;coinsinfountain.bmp;img129.bmp;"0.25896
";0;52.84704264933621;14.992096900939941;0.6056573987007141;0.7010911107063293
410;184;coinsinfountain.bmp;img184.bmp;"0.18796
";0;60.2993891488666;15.74963092803955;0.5525351166725159;0.6496408581733704
